Loan purpose ,ID,Length of time as a client ,Length of loan ,Type of business / Industry ,Years in business ,Start-up business ,Cash-on-hand ,Total assets ,Debt/equity ratio ,Risk
Working Capital,2523,13,1,Financial Services,19,Yes,2615467.045,20747791.43,54,65.42555824
Inventory,2524,16,10,Retail,12,No,4597818.573,18701741.45,54,50.4108377
Operation Expansion,2525,6,8,Hospitality,6,Yes,5942788.437,29727897.04,38,66.51304097
Operation Expansion,2526,17,9,High-Tech,8,Yes,5998992.222,26199379.03,59,61.875266
Employee/Payroll,2527,19,8,Financial Services,10,No,6791697.186,11066062.82,23,47.24373177
New Equipment,2528,4,9,Healthcare,11,No,6648088.592,21505184.88,53,50.4783326
Employee/Payroll,2529,17,1,Retail,1,No,5237228.422,25708612.19,54,68.79536041
Inventory,2530,3,4,Hospitality,2,Yes,5455535.784,13933853.5,17,80.2525567
New Equipment,2531,19,8,Manufacturing,18,No,4823959.605,18338069.72,35,42.2468635
Working Capital,2532,18,4,Healthcare,6,No,5408618.301,16438741.14,64,62.83710519
Inventory,2533,10,4,Financial Services,10,No,1191988.431,18045936.76,49,70.97319838
Employee/Payroll,2534,12,6,Hospitality,18,Yes,4873667.955,18224209.57,56,54.48501128
Inventory,2535,13,10,High-Tech,3,No,5370387.901,31669608.92,57,57.46044322
Real Estate,2536,5,4,Manufacturing,3,Yes,4356128.872,25901637.16,27,83.165449
New Equipment,2537,19,4,Hospitality,12,Yes,4925857.225,34016547.31,23,56.1590688
Employee/Payroll,2538,5,4,Financial Services,12,Yes,2934465.872,23080033.02,56,73.99298933
Real Estate,2539,14,1,Hospitality,9,No,2675871.533,28277661.6,26,61.87816562
Employee/Payroll,2540,20,4,Financial Services,19,Yes,3054503.966,31592477.61,57,53.9549291
Real Estate,2541,15,4,Retail,19,Yes,4482389.924,20447683.46,27,54.73614988
Real Estate,2542,13,7,Manufacturing,20,Yes,3630664.874,22301342.74,43,56.27869596
Employee/Payroll,2543,18,8,Retail,2,Yes,7880129.807,24885099.99,44,65.9065618
New Equipment,2544,3,5,Manufacturing,7,Yes,5795182.072,30576161.42,30,71.14956705
Inventory,2545,14,1,Financial Services,15,Yes,6132323.516,28122811.41,42,55.9274602
Inventory,2546,20,5,High-Tech,20,Yes,5610489.539,32434603.52,44,41.65061777
Operation Expansion,2547,2,8,High-Tech,11,Yes,4252820.901,27016993.9,57,67.65124974
Employee/Payroll,2548,11,7,Financial Services,6,Yes,4714717.343,30308638.03,19,67.02082466
New Equipment,2549,13,8,Healthcare,19,No,7237722.484,29351467.41,38,29.30950061
Real Estate,2550,7,6,Healthcare,10,No,5821904.491,41741792.72,52,47.05371823
Real Estate,2551,7,6,Hospitality,18,Yes,2576060.625,30895459.03,65,60.4802627
New Equipment,2552,9,8,Financial Services,13,Yes,7237119.13,21359512.51,31,56.2219582
Real Estate,2553,15,3,Manufacturing,4,Yes,3347324.698,20259102.89,15,80.86603453
Employee/Payroll,2554,18,9,Hospitality,11,No,5324955.538,21327090.86,47,46.41356229
Inventory,2555,3,9,Retail,8,Yes,2909812.192,25023915.09,36,75.80851313
Operation Expansion,2556,16,7,Hospitality,4,Yes,5756972.573,18695897.08,56,73.26935057
Operation Expansion,2557,15,5,Financial Services,15,No,5975389.136,18830540.8,23,42.88842841
Inventory,2558,4,5,High-Tech,15,Yes,5554643.169,13076720.13,31,61.84303296
Real Estate,2559,11,1,Manufacturing,20,No,6210574.049,22648026.73,64,41.35828671
Inventory,2560,9,4,Financial Services,15,Yes,5675247.91,27071521.79,60,58.21764733
Employee/Payroll,2561,12,5,Retail,10,Yes,3214241.212,41925974.64,30,63.4131001
Real Estate,2562,2,8,High-Tech,18,Yes,5452765.992,24230026.84,23,51.4944057
Operation Expansion,2563,8,1,Retail,5,Yes,4116183.517,24934267.56,61,82.6548309
Real Estate,2564,18,8,High-Tech,7,Yes,4824440.317,23724583.85,35,68.14662774
Inventory,2565,5,9,Retail,16,Yes,6782046.23,29461719.92,26,46.89392175
Real Estate,2566,5,8,Manufacturing,9,No,6157115.761,39677254.46,47,48.97391089
Operation Expansion,2567,15,5,Hospitality,16,Yes,5822545.383,34014992.03,45,48.5301847
Employee/Payroll,2568,14,2,Hospitality,11,Yes,5256516.978,31668395.08,18,56.76782699
Employee/Payroll,2569,15,4,Hospitality,15,Yes,6090094.422,25008180.33,15,47.30674446
Employee/Payroll,2570,12,5,High-Tech,10,No,2648563.919,13937923.99,28,62.89942282
Working Capital,2571,13,5,Hospitality,9,Yes,5128614.057,24663282.6,30,65.6816133
New Equipment,2572,6,2,Manufacturing,20,Yes,3131003.517,15166235.75,61,67.76595256
New Equipment,2573,6,2,Retail,1,No,4802082.074,35843179.08,37,70.39515016
Employee/Payroll,2574,3,10,High-Tech,16,Yes,3845963.787,24448256.75,28,56.97186004
Employee/Payroll,2575,15,8,Retail,6,Yes,4920041.537,19514676.67,17,67.51968236
New Equipment,2576,7,10,Hospitality,18,No,5219829.336,17409837.99,50,42.46750885
Employee/Payroll,2577,6,7,High-Tech,12,No,6320160.085,33326580.55,52,42.81232357
Real Estate,2578,13,7,Manufacturing,5,No,4157861.657,36151185.88,23,58.60315078
Employee/Payroll,2579,3,9,Financial Services,2,Yes,7848356.453,17827906.3,20,70.2631163
Operation Expansion,2580,3,10,High-Tech,7,Yes,4709867.596,15624186.45,18,71.05249516
Real Estate,2581,14,1,Retail,2,No,4550146.722,23308858.61,50,73.07595369
Real Estate,2582,20,10,High-Tech,8,Yes,5690040.516,32908545.09,22,56.02453461
Inventory,2583,10,4,Retail,19,No,3441601.846,31398094.42,48,43.31914481
Operation Expansion,2584,7,9,Manufacturing,3,Yes,8011100.974,19257423.39,37,70.49571924
New Equipment,2585,10,1,Manufacturing,11,No,3641321.9,22874956.03,26,62.04312521
Inventory,2586,6,7,Retail,5,Yes,6749783.422,26055712.92,57,69.81733875
Real Estate,2587,10,1,Healthcare,20,No,5494364.889,23012617.86,27,39.72786627
Inventory,2588,13,1,Financial Services,4,No,2992862.255,25474363.31,36,72.24751429
Working Capital,2589,15,4,Healthcare,5,Yes,4246135.759,28254772.8,22,73.06822587
Working Capital,2590,11,6,Financial Services,7,No,4190322.432,19425211.42,60,65.60028114
Inventory,2591,12,9,Manufacturing,18,Yes,3735827.54,23528222.5,17,51.88880583
Operation Expansion,2592,15,1,Retail,4,No,3633522.081,37285603.41,49,65.68718238
Operation Expansion,2593,4,8,Healthcare,6,Yes,3800291.613,36491109.32,49,72.86316702
Real Estate,2594,6,7,High-Tech,15,Yes,6922814.078,15888233.33,33,56.09624825
Operation Expansion,2595,18,10,Financial Services,17,Yes,5026294.737,18654710.5,40,52.86499834
New Equipment,2596,15,10,Financial Services,7,No,4643750.203,21490499.58,16,54.7616991
Working Capital,2597,14,7,Hospitality,9,No,4046085.583,18758311.88,52,59.12754181
Working Capital,2598,13,5,Manufacturing,3,Yes,6977437.859,20188620.84,44,75.17633949
Operation Expansion,2599,1,8,High-Tech,19,Yes,5935252.924,29918586.07,29,46.46843673
Inventory,2600,7,1,Healthcare,12,No,4543532.323,20869844.53,29,56.38795945
Operation Expansion,2601,13,2,Healthcare,18,No,7408918.342,23289471.04,52,36.33884587
New Equipment,2602,12,2,Healthcare,6,No,5190378.59,18061167.03,60,67.05176457
Inventory,2603,5,1,Healthcare,2,Yes,4990164.776,26712078.26,42,83.15524418
Real Estate,2604,14,2,Healthcare,4,No,4044047.995,23531912.42,32,68.79230407
Operation Expansion,2605,20,10,Healthcare,11,Yes,3648600.139,33564081.37,21,56.55024
Working Capital,2606,12,8,Financial Services,12,Yes,5939445.577,29766522.85,29,56.29364771
Inventory,2607,8,1,Retail,15,Yes,3484895.654,43086140.68,59,60.47816607
Operation Expansion,2608,4,3,High-Tech,2,Yes,3011868.139,24119039.5,18,85.55759578
Operation Expansion,2609,7,7,Hospitality,20,Yes,5406969.971,30321293.68,20,42.71525957
New Equipment,2610,1,9,Hospitality,19,No,3833956.298,28236253.31,15,37.83436956
New Equipment,2611,10,8,Retail,16,Yes,5580134.599,18843813.9,40,57.63212883
Working Capital,2612,20,6,Financial Services,14,No,6133594.143,23169097.44,56,43.52727958
Working Capital,2613,13,9,High-Tech,4,Yes,2154074.665,23592839.72,33,81.71129378
Real Estate,2614,20,1,High-Tech,2,Yes,5773373.91,31097742.26,26,73.26410128
Real Estate,2615,9,9,Retail,11,No,3494898.461,42249346.13,65,50.79119262
Operation Expansion,2616,18,1,Hospitality,17,No,5590129.939,31623287.18,32,36.93594455
New Equipment,2617,14,9,High-Tech,1,Yes,6238546.945,26461172.64,57,74.77730531
Operation Expansion,2618,4,5,Financial Services,17,No,6002200.793,21463820.37,15,39.27044964
Inventory,2619,13,5,High-Tech,11,No,3808127.32,25777367.61,64,55.42115332
Inventory,2620,18,1,Hospitality,17,No,7745049.175,26783499.3,16,27.86021599
Working Capital,2621,20,7,Manufacturing,13,Yes,4982479.758,33534758.01,47,56.32308749
Inventory,2622,12,5,Retail,5,Yes,5746716.469,27468003.41,24,68.91781656
Operation Expansion,2623,4,5,Financial Services,20,Yes,4705635.571,22490454.97,44,55.6999609
Operation Expansion,2624,1,9,Hospitality,6,No,4874711.362,15086541.3,47,64.9959294
Working Capital,2625,16,1,Manufacturing,20,No,2809352.148,20572395.44,47,50.09736699
Real Estate,2626,18,7,Hospitality,17,Yes,4666371.837,33566872.84,64,50.15830511
Real Estate,2627,17,9,High-Tech,5,No,7001108.806,19500133.75,16,49.46289755
Real Estate,2628,12,9,High-Tech,9,No,5329180.358,15050986.34,64,57.29280766
Employee/Payroll,2629,8,2,High-Tech,13,Yes,6452128.128,37479473.18,51,54.17693238
Employee/Payroll,2630,2,4,Manufacturing,12,No,3976352.847,23736307.34,21,55.98411991
Real Estate,2631,9,6,Retail,5,No,4692840.545,31539905.01,26,60.3899126
Working Capital,2632,8,9,Manufacturing,1,No,4970377.141,30570757.92,27,65.34201275
Inventory,2633,8,9,High-Tech,16,Yes,2623436.52,25658047.4,37,60.9286113
Operation Expansion,2634,1,1,High-Tech,14,Yes,4014976.965,21442973.83,62,71.07957261
Employee/Payroll,2635,9,3,High-Tech,5,Yes,4354265.935,21115439.71,27,77.2927762
Employee/Payroll,2636,2,4,Retail,4,No,3804223.266,20685626.03,17,68.42456122
Employee/Payroll,2637,13,1,Hospitality,6,Yes,2657214.577,28718288.95,61,79.99124672
Inventory,2638,12,4,High-Tech,2,Yes,6517446.768,19533413.67,25,74.4805798
Employee/Payroll,2639,12,5,Manufacturing,1,Yes,3538498.003,20817830.39,41,87.6314982
New Equipment,2640,10,10,Healthcare,12,No,5719456.14,29148569.85,25,43.4981068
Inventory,2641,12,2,High-Tech,8,Yes,5802950.448,16137271.99,25,69.7246663
Operation Expansion,2642,18,9,Financial Services,20,Yes,7255578.571,28190160,48,38.30433896
Employee/Payroll,2643,15,9,Manufacturing,5,Yes,3924844.898,25244250.46,15,69.31257922
Operation Expansion,2644,7,2,High-Tech,16,Yes,4805362.562,21911291.74,15,56.43133746
Inventory,2645,4,2,Retail,11,No,6221564.985,27107564.52,59,53.10356082
Inventory,2646,13,1,Hospitality,7,Yes,1832306.86,28432104.98,44,80.80800289
Operation Expansion,2647,5,8,Manufacturing,10,Yes,4963889.673,24991560.15,31,67.08904929
Operation Expansion,2648,12,7,Manufacturing,3,Yes,5846191.385,38690644.2,31,68.55374679
Inventory,2649,15,8,High-Tech,6,Yes,5850837.138,28183605.43,15,59.64317306
New Equipment,2650,12,9,Financial Services,14,No,8044766.473,31532584.85,51,35.44822631
Employee/Payroll,2651,1,10,Hospitality,15,Yes,3089372.867,29580318.16,17,56.271891
Real Estate,2652,7,7,High-Tech,5,Yes,4291126.464,9959289.12,63,84.43887553
Real Estate,2653,1,8,Manufacturing,4,No,6840076.641,31516907.91,25,57.30103345
Employee/Payroll,2654,20,6,Manufacturing,10,No,6568699.421,23335868.37,52,47.43819818
Real Estate,2655,7,3,Healthcare,5,Yes,4838829.086,11467385.4,61,85.28149514
Real Estate,2656,18,6,Manufacturing,11,No,4975582.862,24156068.36,17,48.3503746
New Equipment,2657,13,1,Healthcare,11,No,6561356.776,6853672.512,31,57.63543017
Employee/Payroll,2658,1,4,Financial Services,11,Yes,4697847.936,28025036.54,46,68.90180398
Employee/Payroll,2659,15,10,High-Tech,1,Yes,6561896.293,27068761.46,29,67.99296945
Employee/Payroll,2660,1,2,Hospitality,20,No,2235522.769,31687601.02,36,46.8555945
Working Capital,2661,4,2,Hospitality,20,Yes,4263551.25,18302805.65,20,56.07829684
Operation Expansion,2662,4,1,Manufacturing,14,No,7289830.919,26210864,48,46.93161089
New Equipment,2663,3,1,Hospitality,10,No,6624047.568,33043959.82,40,51.59469021
Employee/Payroll,2664,10,7,High-Tech,13,No,3993814.968,32453080.61,65,48.02134269
New Equipment,2665,15,9,Manufacturing,8,No,4015493.928,31827100.92,65,57.78120924
New Equipment,2666,7,4,Hospitality,13,No,6160260.167,15797511.92,16,47.28702561
Inventory,2667,6,8,Retail,11,Yes,5453979.194,32801086.83,51,60.47636373
New Equipment,2668,7,3,Financial Services,20,Yes,4708083.489,28160733.82,58,55.93627126
Inventory,2669,15,2,Manufacturing,8,Yes,613830.1475,22526846.81,17,82.19384645
Real Estate,2670,6,1,Healthcare,19,No,3227688.747,30658662.72,62,49.2046121
Working Capital,2671,12,5,Healthcare,16,No,7538883.694,24838369.29,57,37.51684833
New Equipment,2672,3,7,Retail,12,No,3836366.347,29169051.9,17,51.97394278
Employee/Payroll,2673,17,8,High-Tech,3,Yes,6700487.796,30136734.95,20,61.91814064
Real Estate,2674,13,8,Retail,14,Yes,2676721.296,18952885.3,61,69.53808548
Operation Expansion,2675,3,4,Retail,18,Yes,3197257.292,17933949.42,45,66.11775095
Inventory,2676,3,3,Retail,19,No,5413822.743,36545650.22,35,37.06080134
Employee/Payroll,2677,2,9,Healthcare,12,Yes,2591605.315,7868959.122,20,73.91609983
Inventory,2678,4,5,High-Tech,4,No,3584637.963,4598242.349,24,75.86513336
Employee/Payroll,2679,16,2,Hospitality,15,No,6522310.914,21105739.69,31,40.36723925
New Equipment,2680,3,10,Financial Services,8,Yes,5665380.372,27130062.86,46,68.7994192
Inventory,2681,16,1,Financial Services,20,No,3379549.265,31364922.47,16,37.48739583
Real Estate,2682,13,9,Retail,9,Yes,6208771.947,21700196.49,28,62.42860498
Working Capital,2683,5,8,Healthcare,16,Yes,4550796.215,28785715.13,31,56.11318712
New Equipment,2684,18,1,Retail,9,Yes,5335609.247,27435060.43,24,66.49440315
New Equipment,2685,8,4,Financial Services,18,Yes,5511542.69,26010322.85,65,56.74244317
Operation Expansion,2686,14,3,Healthcare,15,No,3134899.083,26661179.12,64,52.71573442
Inventory,2687,4,7,High-Tech,13,No,4470644.702,31737050.6,50,48.69984051
Inventory,2688,8,1,Healthcare,4,No,6406530.545,27322045.29,52,62.42813339
New Equipment,2689,19,7,Hospitality,15,No,7240921.014,31852385.13,50,33.29580788
Operation Expansion,2690,18,4,Healthcare,6,No,5905360.239,25593266.79,17,51.87167324
Operation Expansion,2691,1,1,Retail,16,No,4894534.78,20799143.41,49,53.44512579
Employee/Payroll,2692,13,7,Retail,19,Yes,4296694.92,12197727.6,47,57.17409359
Employee/Payroll,2693,17,7,High-Tech,10,No,2624141.748,25505282.92,48,57.08694098
Inventory,2694,6,7,Manufacturing,9,Yes,1930463.011,15222593.55,33,82.3138424
Employee/Payroll,2695,12,1,Healthcare,3,Yes,8282310.182,33882441.98,16,60.84297025
Working Capital,2696,12,2,Financial Services,4,Yes,5934289.308,32000966.22,34,73.13387562
Employee/Payroll,2697,4,8,Hospitality,4,Yes,7373717.317,27616033.2,32,65.18530952
Employee/Payroll,2698,8,9,Financial Services,12,Yes,4388950.139,30061772.79,29,60.18291997
Working Capital,2699,8,4,Hospitality,3,Yes,4925511.047,27386097.1,48,78.78536119
New Equipment,2700,7,6,Hospitality,7,Yes,5709922.872,25352912.55,45,70.41427426
New Equipment,2701,4,8,High-Tech,17,Yes,3085432.268,23137447.88,57,63.97535834
Real Estate,2702,16,4,Financial Services,6,Yes,5363320.999,27003291.11,34,71.52479571
Operation Expansion,2703,14,1,Manufacturing,6,Yes,4747108.377,14232122.91,40,81.38013267
Real Estate,2704,19,5,Healthcare,1,Yes,6222728.421,19312303.33,23,75.71821513
Real Estate,2705,6,6,Manufacturing,11,No,4601877.541,16117865.21,50,61.35622047
Operation Expansion,2706,5,2,Manufacturing,18,Yes,5486934.679,33190706.42,17,50.04068854
Working Capital,2707,15,6,Healthcare,5,Yes,3981261.201,12030396.98,38,81.40331617
Real Estate,2708,4,2,Hospitality,4,Yes,4240424.278,29352763.5,34,80.65224518
Real Estate,2709,1,7,Retail,9,Yes,3920409.935,19054292.15,32,76.50817977
Real Estate,2710,3,3,Manufacturing,14,Yes,3305694.572,32289341.31,27,67.34275873
Operation Expansion,2711,7,9,High-Tech,3,No,4797845.976,32688255.91,58,62.01567893
Real Estate,2712,8,9,Retail,15,Yes,3541106.21,23008309.11,27,62.0049654
Operation Expansion,2713,18,1,High-Tech,5,No,5483494.289,20151771.26,32,61.91207124
Real Estate,2714,11,9,Financial Services,19,No,6232015.472,9383626.417,59,42.14412028
New Equipment,2715,3,10,High-Tech,7,No,8002238.023,16962325.1,48,53.46709141
New Equipment,2716,5,10,Hospitality,13,No,1692541.355,11554061.11,57,65.00504738
Inventory,2717,15,8,Healthcare,11,Yes,4418683.358,11221374.8,51,69.0515571
Employee/Payroll,2718,5,9,Retail,7,Yes,6190609.198,32072727.12,26,61.82920868
Operation Expansion,2719,10,4,High-Tech,8,No,3680339.01,27685716.86,35,60.52204213
Operation Expansion,2720,10,4,Retail,9,No,5629252.274,12882093.84,65,61.33701699
Real Estate,2721,17,10,High-Tech,14,Yes,6184575.365,26358242.31,59,51.77828751
Inventory,2722,9,4,Healthcare,16,No,2204733.867,19014344.72,16,51.91284001
Employee/Payroll,2723,13,8,High-Tech,3,Yes,4858838.754,36957079.61,41,69.33338512
Employee/Payroll,2724,19,9,Retail,3,Yes,5641391.019,32785283.45,59,67.8089649
Operation Expansion,2725,19,2,High-Tech,13,Yes,3615608.781,24775356.64,36,64.672126
Employee/Payroll,2726,3,5,Hospitality,6,No,5434127.756,22003869,39,61.01632475
Inventory,2727,2,4,Retail,10,Yes,5953031.253,13292582.31,49,72.3795064
New Equipment,2728,10,6,High-Tech,5,No,5375683.669,30870890.1,53,60.05340464
Working Capital,2729,15,10,Retail,14,Yes,7956620.593,27336213.57,17,41.9098791
Inventory,2730,2,2,High-Tech,9,Yes,5052533.016,15522629.03,56,76.62558723
Employee/Payroll,2731,9,3,High-Tech,7,No,4701385.487,27013906.87,37,59.41664875
Working Capital,2732,18,4,High-Tech,19,Yes,1763638.983,12927513.56,32,64.57258328
Inventory,2733,18,8,Retail,8,Yes,4083046.102,18716572.73,27,69.36785008
New Equipment,2734,15,1,Retail,1,No,4440770.624,14102253.89,33,77.70134194
New Equipment,2735,16,7,High-Tech,10,Yes,6910227.377,28879566.94,21,54.15962962
Inventory,2736,19,10,Hospitality,14,Yes,5204099.454,25119013.06,25,49.96204678
Working Capital,2737,16,6,Manufacturing,11,No,2945362.539,15639558.77,43,62.62399329
Inventory,2738,14,1,Healthcare,13,Yes,4559937.692,27352869.21,23,61.07871649
Operation Expansion,2739,6,8,Healthcare,9,No,5912817.204,34428569.45,15,43.60639649
Operation Expansion,2740,4,9,Healthcare,1,Yes,4486702.808,23507919.98,33,82.20916872
New Equipment,2741,6,5,Financial Services,19,Yes,7559937.646,21174164.78,54,50.21891758
Working Capital,2742,1,7,Hospitality,17,No,5962579.016,25648801.4,50,41.44084847
Operation Expansion,2743,15,5,Healthcare,20,Yes,3920167.87,9740659.009,33,57.85755237
Real Estate,2744,4,8,Healthcare,15,Yes,5409677.819,14961224.48,48,62.82940151
Operation Expansion,2745,10,1,Hospitality,12,Yes,6807646.817,33660882.85,41,56.18426425
Inventory,2746,20,4,Healthcare,8,No,4219678.64,12549185.4,15,57.11682121
Real Estate,2747,20,7,Retail,13,No,5521818.812,31304442.68,16,37.72039962
Real Estate,2748,4,6,Hospitality,19,Yes,3465535.541,25840107.7,42,58.06485899
New Equipment,2749,18,10,Healthcare,19,No,3998728.969,28542067.77,52,37.68106053
New Equipment,2750,15,1,Hospitality,15,No,5516246.632,31950521.04,32,42.74332014
Operation Expansion,2751,19,10,Manufacturing,6,No,5171919.184,17402752.37,59,59.57786922
Employee/Payroll,2752,17,10,Retail,14,Yes,4453744.89,19128548.14,63,59.29147081
Working Capital,2753,20,6,Hospitality,9,Yes,6477129.123,24848842.64,47,59.85533094
Operation Expansion,2754,19,3,Healthcare,9,Yes,4527551.88,37673706.46,54,64.00432819
Employee/Payroll,2755,3,5,Retail,2,Yes,5424893.261,26154059.86,44,80.04948448
Employee/Payroll,2756,14,5,Financial Services,14,No,3432348.16,38003829.06,43,46.52115824
Inventory,2757,12,5,High-Tech,5,Yes,3300689.955,26176559.61,40,78.15356462
New Equipment,2758,2,10,Hospitality,20,Yes,5889283.752,19735870.49,47,49.99209511
Employee/Payroll,2759,10,9,Healthcare,16,No,5831138.377,36924202.91,60,34.52359742
Operation Expansion,2760,5,2,Financial Services,1,Yes,5778989.567,17114351.12,26,85.21698279
New Equipment,2761,14,1,Healthcare,12,Yes,3289753.186,25882662.3,29,70.35390006
Inventory,2762,19,3,High-Tech,20,No,4410674.793,34956924.28,57,34.37376763
Inventory,2763,8,7,Manufacturing,4,No,7637314.994,16893384.15,58,60.38418899
New Equipment,2764,17,8,High-Tech,19,Yes,6309682.376,26258196.83,51,44.84580663
Employee/Payroll,2765,14,8,Financial Services,1,Yes,3761781.406,29103371.71,19,76.97070729
New Equipment,2766,16,7,High-Tech,16,Yes,5186789.721,17918966.78,32,56.23914245
Employee/Payroll,2767,20,10,Retail,16,Yes,6907175.411,19196018.17,53,46.96099185
Working Capital,2768,2,6,Retail,20,Yes,5676842.961,20245004.04,60,54.24801808
Real Estate,2769,7,6,High-Tech,16,Yes,4256405.026,33506637.4,58,57.65822761
Employee/Payroll,2770,3,7,Hospitality,8,Yes,4682015.207,37042475.8,28,63.80804087
Employee/Payroll,2771,7,10,High-Tech,10,Yes,5221723.757,28465403.55,63,61.85791162
Operation Expansion,2772,4,7,High-Tech,13,Yes,3842904.844,26888029.71,43,65.09083171
New Equipment,2773,9,7,Retail,10,Yes,3909947.461,30173541.58,29,67.91809468
Working Capital,2774,15,2,Manufacturing,7,No,6357339.623,12882510.02,19,59.04090656
New Equipment,2775,18,6,High-Tech,9,Yes,7734335.678,11726266.63,18,59.21862884
New Equipment,2776,15,4,Financial Services,17,No,6441196.067,33920600.52,63,37.55533878
New Equipment,2777,14,3,Healthcare,18,No,1885891.427,23537955.56,43,53.59686696
Working Capital,2778,8,4,Financial Services,2,No,7384600.912,29746405.78,28,59.55293869
New Equipment,2779,9,8,Retail,12,Yes,6874262.576,11073542.93,19,60.20594045
Operation Expansion,2780,4,1,Healthcare,20,No,2678687.084,20474758.62,38,51.86523187
Working Capital,2781,14,4,Healthcare,1,No,2748987.903,26165274.76,31,74.68719599
Inventory,2782,15,8,Manufacturing,2,Yes,6073022.158,21338897.36,59,76.17967644
New Equipment,2783,10,6,High-Tech,8,Yes,5272653.713,31065968.37,24,65.02863567
Real Estate,2784,6,8,Hospitality,1,Yes,6142172.552,25227547.12,25,75.17404005
New Equipment,2785,11,6,Hospitality,6,Yes,3843124.137,26756922.36,48,76.2099723
Real Estate,2786,6,1,Financial Services,14,No,4957805.579,23358441.98,27,53.3145741
Inventory,2787,3,4,Retail,15,Yes,3860038.12,21734914.17,25,64.73445017
Working Capital,2788,11,3,Manufacturing,8,Yes,4411450.2,11862693.99,38,80.08341375
Working Capital,2789,20,4,Financial Services,18,No,5845091.073,23427681.24,34,37.81039762
Real Estate,2790,20,4,High-Tech,18,No,5745351.118,33769110.45,15,28.46227811
Operation Expansion,2791,10,5,Retail,13,No,6350360.163,34461723.7,51,42.63554076
Operation Expansion,2792,16,7,Retail,14,Yes,3984064.648,21490539.15,19,58.75746898
Employee/Payroll,2793,15,6,Hospitality,1,Yes,3515483.22,16685751.24,38,85.01370303
Real Estate,2794,10,4,Financial Services,3,Yes,5404826.916,23756607.48,48,80.56749481
Employee/Payroll,2795,17,9,Healthcare,15,No,4464552.853,25772334.54,30,40.68061664
Inventory,2796,8,10,Healthcare,3,No,4050561.268,28553983.25,18,60.41517553
Operation Expansion,2797,8,3,Manufacturing,19,Yes,5258151.106,25100228.9,31,53.94898997
New Equipment,2798,16,1,Retail,11,Yes,7268846.619,41157338.96,37,54.0198286
Working Capital,2799,19,9,Financial Services,19,Yes,3028249.613,23090886.01,19,51.63090695
Real Estate,2800,20,7,Hospitality,3,Yes,6037471.918,15494990.43,61,75.172531
Real Estate,2801,6,1,Financial Services,3,Yes,4549272.645,23293315.6,42,86.44641081
Employee/Payroll,2802,20,2,Financial Services,13,No,2296242.871,25103491.84,17,52.76861898
Real Estate,2803,1,2,Manufacturing,5,Yes,8172934.645,26874762.5,34,71.1062638
Inventory,2804,10,3,Hospitality,6,Yes,4429295.19,19327547.05,23,75.05489075
New Equipment,2805,4,3,Hospitality,9,Yes,3635438.225,31575259.47,45,74.20324185
Working Capital,2806,5,6,Hospitality,12,No,5238847.349,20302445.76,22,50.32858714
Employee/Payroll,2807,6,10,Hospitality,18,Yes,7217036.837,35026374.04,39,38.57869489
Operation Expansion,2808,4,9,Hospitality,9,No,3219095.805,16086677.54,51,64.14907692
Operation Expansion,2809,2,1,Retail,14,Yes,6238428.016,18548926.41,31,63.97842065
New Equipment,2810,13,4,Retail,10,Yes,2060793.364,11849615.98,15,78.03692819
Inventory,2811,5,1,High-Tech,13,No,6341861.784,28481410.09,28,46.03191479
New Equipment,2812,17,6,Healthcare,10,No,6459503.123,35042569.38,57,45.20772648
Working Capital,2813,4,1,Manufacturing,4,Yes,4790084.297,17627013.38,35,86.43481223
Operation Expansion,2814,9,7,Hospitality,15,No,4668948.103,41395588.24,35,38.25756709
Working Capital,2815,17,2,Retail,19,No,5927192.576,27040271.78,35,36.4187862
Employee/Payroll,2816,11,6,High-Tech,1,Yes,5829284.185,21568045.67,23,75.48622675
Real Estate,2817,6,8,Retail,7,Yes,5398206.577,21385038.58,63,73.7067867
New Equipment,2818,18,2,High-Tech,13,Yes,6141201.15,17769046.24,36,61.37212922
New Equipment,2819,19,10,High-Tech,17,Yes,1727243.622,23242992.16,59,62.02860484
New Equipment,2820,18,7,Retail,9,Yes,3649817.687,26137175.87,32,69.4599042
Employee/Payroll,2821,17,8,Financial Services,17,No,3789451.102,30573274.02,18,36.60804959
Inventory,2822,14,1,Manufacturing,3,Yes,4834954.661,25232138.26,60,82.03460693
New Equipment,2823,11,1,Healthcare,6,Yes,6317092.613,19583258.05,48,75.75189669
Inventory,2824,18,1,Manufacturing,20,Yes,6935316.11,24659126.22,43,45.93911833
Employee/Payroll,2825,2,10,Healthcare,14,Yes,5007628.692,25550143.62,16,53.71546195
New Equipment,2826,14,1,Healthcare,8,Yes,8012010.012,24080275.53,35,63.44249449
New Equipment,2827,20,5,Healthcare,14,No,3701098.126,16046675.39,39,53.81138693
New Equipment,2828,3,3,Retail,14,Yes,4151251.201,30739359.9,49,66.81916781
Operation Expansion,2829,17,8,Retail,4,Yes,4878940.594,24228517.48,60,74.40519046
Employee/Payroll,2830,4,8,Financial Services,3,No,5537401.882,15604885.71,41,67.90120952
Operation Expansion,2831,13,7,High-Tech,8,Yes,5723833.867,33478423.11,20,58.48572562
Working Capital,2832,17,1,High-Tech,9,No,4446407.188,27395294.12,58,58.24662324
Working Capital,2833,16,8,Financial Services,5,Yes,3755269.596,37247682.89,42,71.49576362
